SnesAddressHex,SnesAddress,Name,Comment,UsedStatus
$0093C9,37833,UNREACH_0093C9,,USED
$0093CC,37836,+,,USED
$0093FB,37883,UNREACH_0093FB,,USED
$0093FE,37886,+,,USED
$009400,37888,++++,,USED
$009424,37924,++,,USED
$00942A,37930,+++,,USED
$009443,37955,UNREACH_009443,,USED
$009458,37976,++,,USED
$00945E,37982,--,,USED
$009466,37990,+,,USED
$009478,38008,+,,USED
$009484,38020,UNREACH_009484,,USED
$009488,38024,+,,USED
$009491,38033,UNREACH_009491,,USED
$009493,38035,++,,USED
$0094A0,38048,UNREACH_0094A0,,USED
$0094A5,38053,-,,USED
$0094B2,38066,--,,USED
$0094D5,38101,CODE_JP_0094D5,,USED
$0094E2,38114,+,,USED
$009506,38150,+,,USED
$009516,38166,UNREACH_009516,,USED
$00951C,38172,CODE_FN_00951C,,USED
$00953B,38203,UNREACH_00953B,,USED
$00953F,38207,UNREACH_00953F,,USED
$009543,38211,UNREACH_009543,,USED
$009547,38215,+,,USED
$0095FB,38395,CODE_FN_0095FB,,USED
$00963D,38461,CODE_FN_00963D,,USED
$0096A0,38560,CODE_FL_0096A0,,USED
$0096A9,38569,-,,USED
$0096B3,38579,CODE_FL_0096B3,,USED
$0096C9,38601,-,,USED
$0096DB,38619,+,,USED
$0096E4,38628,CODE_FL_0096E4,,USED
$0096FB,38651,-,,USED
$009710,38672,+,,USED
$009712,38674,++,,USED
$009716,38678,+++,,USED
$00971E,38686,CODE_FL_00971E,,USED
$009726,38694,CODE_FL_009726,,USED
$009730,38704,CODE_FL_009730,,USED
$009737,38711,-,,USED
$00974E,38734,CODE_FL_00974E,,USED
$009754,38740,CODE_FL_009754,,USED
$00975A,38746,CODE_FL_00975A,,USED
$009760,38752,CODE_FL_009760,,USED
$00976B,38763,CODE_FL_00976B,,USED
$009776,38774,CODE_FL_009776,,USED
$009783,38787,CODE_FL_009783,,USED
$0097B8,38840,+,,USED
$0097BE,38846,CODE_FL_0097BE,,USED
$0097DA,38874,CODE_FN_0097DA,,USED
$0097F2,38898,CODE_FN_0097F2,,USED
$0097FB,38907,UNREACH_0097FB,,USED
$00981B,38939,CODE_JP_00981B,,USED
$00985D,39005,CODE_FN_00985D,,USED
$00985E,39006,-,,USED
$009874,39028,+,,USED
